code;name
acetone;acetone
acetonitrile;acetonitrile
generic_solvent_organic;generic solvent, organic
dimethyl_sulfoxide;dimethyl sulfoxide
methanol;methanol
ethanol_without_water_in_997_solution_state_from_fermentation;ethanol, without water, in 99.7% solution state, from fermentation
heptane;heptane
hexane;hexane
isopropanol;isopropanol
acetone_for_chromatography;acetone for chromatography
generic_solvent_chromatography_grade;generic solvent, chromatography grade
methanol_for_chromatography;methanol for chromatography
toluene;toluene
tetrahydrofuran;tetrahydrofuran
deionised_water;deionised water
cyclohexane;cyclohexane
sodium_chloride;sodium chloride
dichloromethane;dichloromethane
ethanol_without_water_in_95_solution_state;ethanol, without water, in 95% solution state
spent_solvent_mixture;spent solvent mixture
treatment_of_spent_solvent_mixture;treatment of spent solvent mixture
